This sheet can be used to calculate total numbers per species collected over the term of the permit. ,,,
A pivot table can be inserted on this page using the following columns as guide lines,,,
,,,
Location,Species,Number,Weight (g)
Kah shakes,Syngnathus leptorhynchus,11,NA
Kah shakes,Myoxocephalus polyacanthocephalus,9,NA
Kah shakes,Gadus macrocephalus,7,NA
Kah shakes,Apodichthys flavidus,6,NA
Kah shakes,Hexagrammos stelleri,6,NA
Kah shakes,"Pugettia producta, Majidae",6,NA
Kah shakes,Enophrys bison,5,NA
Kah shakes,Hemilepidotus hemilepidotus,4,NA
Kah shakes,Sebastes maliger,3,NA
Kah shakes,Aulorhynchus flavidus,2,NA
Kah shakes,Blepsias cirrhosus,1,NA
Kah shakes,Cottidae,1,NA
Kah shakes,Gasterosteus aculeatus,1,NA
Kah shakes,Hemilepidotus sp.,1,NA
Kah shakes,Leptocottus armatus,1,NA
Kah shakes,Limanda aspera,1,NA
Kah shakes,Oncorhynchus kisutch,1,NA
Kah shakes,Pleuronichthys coenosus,1,NA
Kah shakes,Sebastes caurinus,1,NA
Kah shakes,Acrosiphinia arcta,NA,10.5
Kah shakes,Ceramiales (order),NA,8.2
Kah shakes,Chordaria flagelliformis,NA,0.7
Kah shakes,Costaria costata,NA,36.7
Kah shakes,Cryptosiphonia woodii,NA,9.6
Kah shakes,Desmarestia viridis,NA,30.7
Kah shakes,Fucus distichus,NA,7.4
Kah shakes,Mazzaella phyllocarpa,NA,2.6
Kah shakes,Neorhodomela aculeata,NA,148.6
Kah shakes,Neorhodomela larix,NA,13.4
Kah shakes,Palmaria hecatensis,NA,28.6
Kah shakes,Palmaria mollis,NA,9.5
Kah shakes,Polyneura latissima,NA,11.6
Kah shakes,Pterosiphonia spp,NA,93.3
Kah shakes,Saccharina latissima,NA,1038.5
Kah shakes,Sparlingia pertusa,NA,12.6
Kah shakes,Ulva lactuca,NA,26.9
Kah shakes,Ulva linza,NA,40.2
Kah shakes,Unknown Finely Branched Reds,NA,35.1
Kah shakes,Cymatogaster aggregata,96,NA
Kah shakes,Ammodytes personatus,14,NA
Kah shakes,Citharichthys stigmaeus,6,NA
Kah shakes,Lepidopsetta spp.,6,NA
Kah shakes,Blepsias cirrhosus,3,NA
Kah shakes,Brachyistius frenatus,3,NA
Kah shakes,Enophrys bison,3,NA
Kah shakes,Pholis laeta,3,NA
Kah shakes,Sebastes caurinus,3,NA
Kah shakes,Sebastes sp,2,NA
Kah shakes,Anoplarchus insignis,1,NA
Kah shakes,Apodichthys flavidus,1,NA
Kah shakes,Artedius spp.,1,NA
Kah shakes,Hexagrammos decagrammus,1,NA
Kah shakes,Hexagrammos octogrammus,1,NA
Kah shakes,Hexagrammos stelleri,1,NA
Kah shakes,Leptocottus armatus,1,NA
Kah shakes,Podothecus accipenserinus,1,NA
Reef harbor,Acrosiphinia arcta,NA,3.3
Reef harbor,Agarum spp,NA,7.8
Reef harbor,Desmarestia aculeata,NA,0.3
Reef harbor,Fucus gardneri,NA,1.9
Reef harbor,Mazzaella phyllocarpa,NA,3.6
Reef harbor,Microcladia borealis,NA,50.6
Reef harbor,Neorhodomela aculeata,NA,301.4
Reef harbor,Odonthalia floccosa f. comosa,NA,202.7
Reef harbor,Palmaria hecatensis,NA,6.3
Reef harbor,Palmaria mollis,NA,104.4
Reef harbor,Polyneura latissima,NA,4.3
Reef harbor,Pterosiphonia spp,NA,84.7
Reef harbor,Ptilota serrata,NA,62.4
Reef harbor,Saccharina groenlandica,NA,237.7
Reef harbor,Schizymenia pacifica,NA,275.3
Reef harbor,Ulva lactuca,NA,226.3
Reef harbor,Unknown Finely Branched Reds,NA,108.4
Reef harbor,Parophrys vetulus,33,NA
Reef harbor,Salvelinus malma,32,NA
Reef harbor,Aulorhynchus flavidus,29,NA
Reef harbor,Gadus macrocephalus,23,NA
Reef harbor,Blepsias cirrhosus,15,NA
Reef harbor,Oncorhynchus gorbuscha,13,NA
Reef harbor,Pholis laeta,13,NA
Reef harbor,Ophiodon elongatus,11,NA
Reef harbor,Apodichthys flavidus,2,NA
Reef harbor,Artedius spp.,2,NA
Reef harbor,Hemilepidotus sp.,2,NA
Reef harbor,Oncorhynchus keta,2,NA
Reef harbor,Podothecus accipenserinus,2,NA
Reef harbor,Sebastes sp,2,NA
Reef harbor,Syngnathus leptorhynchus,2,NA
Reef harbor,Ammodytes personatus,1,NA
Reef harbor,Hexagrammos stelleri,1,NA
Reef harbor,Oncorhynchus kisutch,1,NA
Reef harbor,Pleuronectidae,1,NA
Dall bay,Lumpenus sagitta,644,NA
Dall bay,Zostera marina,75,NA
Dall bay,Pholis laeta,56,NA
Dall bay,Gasterosteus aculeatus,29,NA
Dall bay,Parophrys vetulus,29,NA
Dall bay,Aulorhynchus flavidus,15,NA
Dall bay,Artedius spp.,13,NA
Dall bay,Gadus macrocephalus,11,NA
Dall bay,Syngnathus leptorhynchus,10,NA
Dall bay,Hexagrammos stelleri,7,NA
Dall bay,Citharichthys stigmaeus,6,NA
Dall bay,Cymatogaster aggregata,3,NA
Dall bay,Lepidopsetta spp.,2,NA
Dall bay,Leptocottus armatus,2,NA
Dall bay,Metacarcinus magister,2,NA
Dall bay,Myoxocephalus polyacanthocephalus,2,NA
Dall bay,Oncorhynchus gorbuscha,2,NA
Dall bay,Division Teleostei,1,NA
Dall bay,Agarum clathratum,NA,2.2
Dall bay,Chondracanthus exasperatus,NA,14.1
Dall bay,Fucus distichus,NA,289.4
Dall bay,Halosaccion glandiforme,NA,20.5
Dall bay,Leathesia marina,NA,4.2
Dall bay,Mazzaella splendens,NA,12.5
Dall bay,Microcladia borealis,NA,57.4
Dall bay,Neorhodomela aculeata,NA,283.8
Dall bay,Odonthalia floccosa f. comosa,NA,24.5
Dall bay,Opuntiella californica,NA,1.3
Dall bay,Palmaria mollis,NA,37.1
Dall bay,Polyneura latissima,NA,0.6
Dall bay,Ptilota serrata,NA,103.5
Dall bay,Saccharina latissima,NA,3343.9
Dall bay,Ulva lactuca,NA,36.8
Dall bay,Unknown Finely Branched Reds,NA,57.8
Dall bay,Oncorhynchus gorbuscha,247,NA
Dall bay,Oncorhynchus kisutch,140,NA
Dall bay,Ammodytes personatus,34,NA
Dall bay,Cymatogaster aggregata,20,NA
Dall bay,Gasterosteus aculeatus,10,NA
Dall bay,Brachyistius frenatus,7,NA
Dall bay,Artedius spp.,4,NA
Dall bay,Sebastes sp,4,NA
Dall bay,Pholis laeta,2,NA
Dall bay,"Pugettia producta, Majidae",2,NA
Dall bay,Clupea pallasii,1,NA
Dall bay,Oxylebius pictus,1,NA
Moira sound,Syngnathus leptorhynchus,92,NA
Moira sound,Zostera marina,75,NA
Moira sound,Hexagrammos stelleri,67,NA
Moira sound,Lumpenus sagitta,42,NA
Moira sound,Gasterosteus aculeatus,37,NA
Moira sound,Cymatogaster aggregata,34,NA
Moira sound,Aulorhynchus flavidus,18,NA
Moira sound,Temessus cheiragonus,18,NA
Moira sound,Leptocottus armatus,17,NA
Moira sound,Enophrys bison,8,NA
Moira sound,Gadus macrocephalus,7,NA
Moira sound,Myoxocephalus polyacanthocephalus,7,NA
Moira sound,Metacarcinus gracilis,2,NA
Moira sound,Parstichopus californicus,1,NA
Moira sound,Agarum clathratum,NA,138.7
Moira sound,Callophyllis spp,NA,0.4
Moira sound,Ceramium pacificum,NA,4.5
Moira sound,Chaetomorpha spp,NA,11.3
Moira sound,Dictyosiphon foeniculaceus,NA,57.9
Moira sound,Dumontia alaskana,NA,4.3
Moira sound,Mazzaella phyllocarpa,NA,4.1
Moira sound,Palmaria hecatensis,NA,0.8
Moira sound,Palmaria mollis,NA,5.4
Moira sound,Saccharina groenlandica,NA,1656.1
Moira sound,Saccharina spp,NA,2534.2
Moira sound,Sphacelaria rigidula,NA,19.1
Moira sound,Cymatogaster aggregata,122,NA
Moira sound,Artedius spp.,7,NA
Moira sound,Pholis laeta,2,NA
Moira sound,Gadus macrocephalus,1,NA
Moira sound,Gasterosteus aculeatus,1,NA
Moira sound,Leptocottus armatus,1,NA
Moira sound,Parstichopus californicus,1,NA
Moira sound,"Pugettia producta, Majidae",1,NA
Moira sound,Syngnathus leptorhynchus,1,NA
Moira sound,Temessus cheiragonus,1,NA
Nichols Bay,Acrosiphinia arcta,NA,2.7
Nichols Bay,Agarum clathratum,NA,52.5
Nichols Bay,Fucus distichus,NA,1.6
Nichols Bay,Palmaria mollis,NA,2.9
Nichols Bay,Saccharina groenlandica,NA,524.2
Nichols Bay,Saccharina latissima,NA,2396.7
Nichols Bay,Saccharina spp,NA,1125.1
Nichols Bay,Ulva lactuca,NA,0.9
Nichols Bay,Rhinogobiops nicholsii,24,NA
Nichols Bay,Cymatogaster aggregata,16,NA
Nichols Bay,Pholis laeta,11,NA
Nichols Bay,Sebastes maliger,8,NA
Nichols Bay,Sebastes sp,7,NA
Nichols Bay,Artedius spp.,5,NA
Nichols Bay,Temessus cheiragonus,5,NA
Nichols Bay,Oxylebius pictus,2,NA
Nichols Bay,Brachyistius frenatus,1,NA
Nichols Bay,Leptocottus armatus,1,NA
Nichols Bay,Ronquilus jordani,1,NA
Nichols Bay,Sebastes caurinus,1,NA
Nichols Bay,Sebastes melanops,1,NA
Nichols Bay,Syngnathus leptorhynchus,116,NA
Nichols Bay,Cymatogaster aggregata,92,NA
Nichols Bay,Zostera marina,75,NA
Nichols Bay,Pholis laeta,15,NA
Nichols Bay,Myoxocephalus polyacanthocephalus,8,NA
Nichols Bay,Artedius spp.,7,NA
Nichols Bay,Hexagrammos octogrammus,3,NA
Nichols Bay,Leptocottus armatus,3,NA
Nichols Bay,Oncorhynchus kisutch,3,NA
Nichols Bay,Blepsias cirrhosus,2,NA
Nichols Bay,Enophrys bison,2,NA
Nichols Bay,Gasterosteus aculeatus,1,NA
Nichols Bay,Hexagrammos stelleri,1,NA
Nichols Bay,Temessus cheiragonus,1,NA
Tah Bay,Agarum clathratum,NA,13
Tah Bay,Fucus distichus,NA,36.4
Tah Bay,Pterosiphonia spp,NA,2.3
Tah Bay,Saccharina latissima,NA,1007.6
Tah Bay,Saccharina spp,NA,500
Tah Bay,Ulva lactuca,NA,43.6
Tah Bay,Syngnathus leptorhynchus,86,NA
Tah Bay,Pholis laeta,83,NA
Tah Bay,Zostera marina,75,NA
Tah Bay,Hexagrammos stelleri,61,NA
Tah Bay,Cymatogaster aggregata,54,NA
Tah Bay,Lumpenus sagitta,35,NA
Tah Bay,Ophiodon elongatus,28,NA
Tah Bay,Artedius spp.,22,NA
Tah Bay,Gasterosteus aculeatus,22,NA
Tah Bay,Temessus cheiragonus,13,NA
Tah Bay,Clupea pallasii,7,NA
Tah Bay,Gadus macrocephalus,7,NA
Tah Bay,Parophrys vetulus,3,NA
Tah Bay,Sebastes caurinus,3,NA
Tah Bay,Citharichthys sordidus,1,NA
Tah Bay,Lepidogobius lepidus,1,NA
Tah Bay,Platichthys stellatus,1,NA
Tah Bay,Sebastes melanops,1,NA
Hunter Bay,Lumpenus sagitta,228,NA
Hunter Bay,Artedius spp.,119,NA
Hunter Bay,Zostera marina,75,NA
Hunter Bay,Pholis laeta,52,NA
Hunter Bay,Cymatogaster aggregata,29,NA
Hunter Bay,Oncorhynchus kisutch,26,NA
Hunter Bay,Syngnathus leptorhynchus,17,NA
Hunter Bay,Pallasina barbata,13,NA
Hunter Bay,Temessus cheiragonus,7,NA
Hunter Bay,Anoplarchus insignis,3,NA
Hunter Bay,Leptocottus armatus,2,NA
Hunter Bay,Citharichthys sordidus,1,NA
Hunter Bay,Gasterosteus aculeatus,1,NA
Hunter Bay,Myoxocephalus polyacanthocephalus,1,NA
Hunter Bay,Oncorhynchus nerka,1,NA
Nossuk Bay,Metacarcinus gracilis,18,NA
Nossuk Bay,Leptocottus armatus,8,NA
Guktu Bay,Metacarcinus gracilis,5,NA
Guktu Bay,Leptocottus armatus,3,NA
Guktu Bay,Telmessus cheiragonus,3,NA
Guktu Bay,Hexagrammos stelleri,1,NA
Nossuk Bay,Squalus acanthias,1,NA
Nossuk Bay,Telmessus cheiragonus,1,NA
Shinaku Inlet,Metacarcinus gracilis,12,NA
North Fish Egg Island,Cancer productus,8,NA
North Fish Egg Island,Leptocottus armatus,5,NA
Shinaku Inlet,Leptocottus armatus,2,NA
Shinaku Inlet,Telmessus cheiragonus,2,NA
Natzuhini Bay,Gasterosteus aculeatus,648,NA
Natzuhini Bay,Cymatogaster aggregata,89,NA
Natzuhini Bay,Lumpenus sagitta,41,NA
Natzuhini Bay,Syngnathus leptorhynchus,22,NA
Natzuhini Bay,Aulorhynchus flavidus,21,NA
Natzuhini Bay,Pholis laeta,19,NA
Natzuhini Bay,Lepidogobius lepidus,8,NA
Natzuhini Bay,Cancer productus,6,NA
Port Refugio,Telmessus cheiragonus,6,NA
Natzuhini Bay,Temessus cheiragonus,4,NA
Natzuhini Bay,Enophrys bison,3,NA
Natzuhini Bay,Artedius spp.,2,NA
Natzuhini Bay,Citharichthys sordidus,2,NA
Natzuhini Bay,Leptocottus armatus,2,NA
Natzuhini Bay,Citharichthys stigmaeus,1,NA
Port Refugio,Leptocottus armatus,1,NA
Natzuhini Bay,Limanda aspera,1,NA
Port Refugio,Metacarcinus gracilis,1,NA
Port Refugio,Pandalus danae,1,NA
Natzuhini Bay,Parophrys vetulus,1,NA
Port Refugio,Pycnopodia helianthoides,1,NA
Port Refugio,Gasterosteus aculeatus,564,NA
Port Refugio,Lumpenus sagitta,166,NA
Port Refugio,Pholis laeta,127,NA
Port Refugio,Sebastes melanops,101,NA
Port Refugio,Artedius spp.,91,NA
Port Refugio,Syngnathus leptorhynchus,83,NA
Port Refugio,Cymatogaster aggregata,65,NA
Port Refugio,Temessus cheiragonus,7,NA
Port Refugio,Aulorhynchus flavidus,4,NA
Port Refugio,Artedius harringtoni,3,NA
Port Refugio,Clupea pallasii,3,NA
Port Refugio,Hexagrammos stelleri,3,NA
Port Refugio,Sebastes caurinus,3,NA
Port Refugio,Anoplarchus insignis,1,NA
Port Refugio,Artedius fenestralis,1,NA
Port Refugio,Blepsias cirrhosus,1,NA
Port Refugio,Cottidae,1,NA
Port Refugio,Leptocottus armatus,1,NA
Port Refugio,Myoxocephalus polyacanthocephalus,1,NA
Port Refugio,Odontopyxis trispinosa,1,NA
Port Refugio,Parophrys vetulus,1,NA
Port Refugio,Platichthys stellatus,1,NA
Port Refugio,Scorpaenidae,1,NA
Port Refugio,Sebastes maliger,1,NA
North Fish Egg Island,Pholis laeta,172,NA
North Fish Egg Island,Gasterosteus aculeatus,157,NA
North Fish Egg Island,Syngnathus leptorhynchus,146,NA
North Fish Egg Island,Lumpenus sagitta,49,NA
North Fish Egg Island,Aulorhynchus flavidus,12,NA
North Fish Egg Island,Cymatogaster aggregata,9,NA
North Fish Egg Island,Hemilepidotus spinosus,7,NA
North Fish Egg Island,Leptocottus armatus,6,NA
North Fish Egg Island,"Cancer productus, Cancridae",3,NA
North Fish Egg Island,Hemilepidotus hemilepidotus,3,NA
North Fish Egg Island,Platichthys stellatus,3,NA
North Fish Egg Island,Sebastes auriculatus,3,NA
North Fish Egg Island,Hemilepidotus sp.,2,NA
North Fish Egg Island,Hexagrammos octogrammus,2,NA
North Fish Egg Island,Artedius spp.,1,NA
North Fish Egg Island,Citharichthys sordidus,1,NA
North Fish Egg Island,Enophrys bison,1,NA
North Fish Egg Island,Hexagrammos stelleri,1,NA
North Fish Egg Island,Lepidogobius lepidus,1,NA
Shinaku Inlet,Cymatogaster aggregata,1307,NA
Shinaku Inlet,Lumpenus sagitta,152,NA
Shinaku Inlet,Gasterosteus aculeatus,122,NA
Shinaku Inlet,Pholis laeta,48,NA
Shinaku Inlet,Leptocottus armatus,18,NA
Shinaku Inlet,Syngnathus leptorhynchus,11,NA
Shinaku Inlet,Artedius spp.,10,NA
Shinaku Inlet,Parophrys vetulus,8,NA
Shinaku Inlet,Metacarcinus gracilis,4,NA
Shinaku Inlet,Temessus cheiragonus,4,NA
Shinaku Inlet,Hexagrammos stelleri,2,NA
Shinaku Inlet,Lepidogobius lepidus,2,NA
Shinaku Inlet,Artedius fenestralis,1,NA
Shinaku Inlet,Brachyistius frenatus,1,NA
Shinaku Inlet,Lepidopsetta spp.,1,NA
Shinaku Inlet,Oncorhynchus kisutch,1,NA
Nossuk Bay,Gasterosteus aculeatus,55,NA
Nossuk Bay,Cymatogaster aggregata,22,NA
Nossuk Bay,Aulorhynchus flavidus,7,NA
Nossuk Bay,Lumpenus sagitta,6,NA
Nossuk Bay,Pholis laeta,5,NA
Nossuk Bay,Syngnathus leptorhynchus,4,NA
Nossuk Bay,Artedius spp.,3,NA
Nossuk Bay,Hexagrammos stelleri,3,NA
Nossuk Bay,Blepsias cirrhosus,2,NA
Nossuk Bay,Leptocottus armatus,1,NA
Nossuk Bay,Temessus cheiragonus,1,NA
Guktu Bay,Pholis laeta,296,NA
Guktu Bay,Lumpenus sagitta,252,NA
Guktu Bay,Syngnathus leptorhynchus,33,NA
Guktu Bay,Gadus macrocephalus,24,NA
Guktu Bay,Gasterosteus aculeatus,19,NA
Guktu Bay,Artedius spp.,15,NA
Guktu Bay,Cymatogaster aggregata,10,NA
Guktu Bay,Leptocottus armatus,10,NA
Guktu Bay,Aulorhynchus flavidus,7,NA
Guktu Bay,Hexagrammos stelleri,7,NA
Guktu Bay,Temessus cheiragonus,6,NA
Guktu Bay,Lepidopsetta spp.,5,NA
Guktu Bay,Hexagrammos octogrammus,3,NA
Guktu Bay,Ophiodon elongatus,3,NA
Guktu Bay,Hemilepidotus sp.,2,NA
Guktu Bay,Ammodytes personatus,1,NA
Guktu Bay,Anoplarchus insignis,1,NA
Guktu Bay,Artedius fenestralis,1,NA
Guktu Bay,Blepsias cirrhosus,1,NA
Guktu Bay,Pallasina barbata,1,NA
Guktu Bay,Parophrys vetulus,1,NA
North Fish Egg Island,Zostera marina,120,NA
Shinaku Inlet,Zostera marina,120,NA
Natzuhini Bay,Zostera marina,120,NA
Port Refugio,Zostera marina,120,NA
Guktu Bay,Zostera marina,120,NA
Nossuk Bay,Zostera marina,120,NA
Big Tree Bay,Zostera marina,75,NA
Klawock Airport,Zostera marina,75,NA
Clam island,Zostera marina,75,NA
North Fish Egg Island,Zostera marina,75,NA
Bostwick Inlet,Acrosiphinia arcta,NA,0.4
Bostwick Inlet,Agarum clathratum,NA,49.4
Bostwick Inlet,Callophyllis firma,NA,0.2
Bostwick Inlet,Callophyllis spp,NA,0.7
Bostwick Inlet,Ceramium pacificum,NA,0.1
Bostwick Inlet,Chondracanthus exasperatus,NA,1.5
Bostwick Inlet,Constantinea rosa-marina,NA,3.1
Bostwick Inlet,Corallina officinalis,NA,0.1
Bostwick Inlet,Desmarestia aculeata,NA,7.2
Bostwick Inlet,Dictyosiphon sp,NA,1.6
Bostwick Inlet,Farlowia mollis,NA,0.5
Bostwick Inlet,Fucus distichus,NA,1273.4
Bostwick Inlet,Gracilaria - Gracilariopsis sp.,NA,0.9
Bostwick Inlet,Halosaccion glandiforme,NA,0.1
Bostwick Inlet,Neogastroclonium subarticulatum,NA,5.5
Bostwick Inlet,Neorhodomela aculeata,NA,215.4
Bostwick Inlet,Neorhodomela oregana,NA,5.3
Bostwick Inlet,Odonthalia flocossa,NA,0.3
Bostwick Inlet,Odonthalia setacea,NA,4.7
Bostwick Inlet,Osmundea spectabilis,NA,2.7
Bostwick Inlet,Palmaria mollis,NA,1.7
Bostwick Inlet,Polyneura latissima,NA,3
Bostwick Inlet,Pterosiphonia hamata,NA,8.2
Bostwick Inlet,Ptilota serrata,NA,19.4
Bostwick Inlet,Saccharina latissima,NA,5403.4
Bostwick Inlet,Saccharina spp,NA,37
Bostwick Inlet,Sarcodiotheca gaudichaudii,NA,0.4
Bostwick Inlet,Schizymena pacifica,NA,12.2
Bostwick Inlet,Soranthera ulvoidea,NA,1.6
Bostwick Inlet,Sparlingia pertusa,NA,5.6
Bostwick Inlet,Stephanocystis geminata,NA,251.5
Bostwick Inlet,Ulva lactuca,NA,136
Bostwick Inlet,Cymatogaster aggregata,73,NA
Bostwick Inlet,Syngnathus leptorhynchus,15,NA
Bostwick Inlet,Artedius spp.,7,NA
Bostwick Inlet,Myoxocephalus polyacanthocephalus,3,NA
Bostwick Inlet,Brachyistius frenatus,2,NA
Bostwick Inlet,Pholis laeta,2,NA
Bostwick Inlet,Ammodytes personatus,1,NA
Bostwick Inlet,Apodichthys flavidus,1,NA
Bostwick Inlet,"Pugettia producta, Majidae",1,NA
Bostwick Inlet,Syngnathus leptorhynchus,78,NA
Bostwick Inlet,Zostera marina,75,NA
Bostwick Inlet,Aulorhynchus flavidus,65,NA
Bostwick Inlet,Cymatogaster aggregata,55,NA
Bostwick Inlet,Pholis laeta,35,NA
Bostwick Inlet,Metacarcinus magister,16,NA
Bostwick Inlet,Artedius spp.,9,NA
Bostwick Inlet,Oncorhynchus clarkii,8,NA
Bostwick Inlet,Temessus cheiragonus,7,NA
Bostwick Inlet,Hexagrammos stelleri,4,NA
Bostwick Inlet,Leptocottus armatus,4,NA
Bostwick Inlet,Parophrys vetulus,4,NA
Bostwick Inlet,Myoxocephalus polyacanthocephalus,2,NA
Bostwick Inlet,Enophrys bison,1,NA
